query_phrase,source_domain,url,title,description,date
"test","super.domain.com","http://super.domain.com/test","Test on super.domain.com","Description of the Test on super.domain.com","2012-11-12"
"test","super.domain.com","http://super.domain.com/test2","Test Second on super.domain.com","Description of the Test 2 on super.domain.com","2012-11-12"
"test","super.domain.com","http://super.domain.com/test3","Test Third on super.domain.com","Description of the Test 3 on super.domain.com","2012-11-12"
"not match","super.domain.com","http://super.domain.com/not_match","Not Match on super.domain.com","Description of the Not Match on super.domain.com","2012-11-12"
"another","super.domain.com","http://super.domain.com/another","Another on super.domain.com","Description of the Another on super.domain.com","2012-11-12"
"another","super.domain.com","http://super.domain.com/another2","Another 2 on super.domain.com","Description of the Another 2 on super.domain.com","2012-11-12"
"another","super.domain2.com","http://super.domain.com/another","Another on super.domain2.com","Description of the Another on super.domain2.com","2012-11-12"
"another","super.domain2.com","http://super.domain.com/another2","Another 2 on super.domain2.com","Description of the Another 2 on super.domain2.com","2012-11-12"
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/CHUK,"
<em>CHUK</em> - Wikipedia, the free encyclopedia","Inhibitor of nuclear factor kappa-B kinase subunit alpha (IKK-α) also known as IKK1 or conserved helix-loop-helix ubiquitous kinase (<em>CHUK</em>) is a protein kinase <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_(instrument),"
<em>Chuk</em> (instrument) - Wikipedia, the free encyclopedia","The <em>chuk</em> (hangul: 축; hanja: 柷) is a traditional Korean musical instrument used in Confucian (Munmyo) and Royal Ancestral Shrine (Jongmyo) ceremonies to <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_Iwuji,"
<em>Chuk</em> Iwuji - Wikipedia, the free encyclopedia","Chukwudi Iwuji (born 1975, Nigeria), usually shortened to <em>Chuk</em> Iwuji or Chuck Iwuji, is a Nigerian-born actor, active in the United Kingdom.<br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Wong_Chuk_Hang,"Wong <em>Chuk</em> Hang - Wikipedia, the free encyclopedia","Wong <em>Chuk</em> Hang is an industrial and residential town to the east of Aberdeen and to the north of Nam Long Shan and to the west of Shouson Hill, on Hong <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Chuk_Yuen,"
<em>Chuk</em> Yuen - Wikipedia, the free encyclopedia","
<em>Chuk</em> Yuen (Chinese: 竹園) or <em>Chuk</em> Un was a village and an area in New Kowloon of Hong Kong. The  area is approximately present-day Wong Tai Sin.<br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/U_Tong-chuk,"U Tong-<em>chuk</em> - Wikipedia,  the free encyclopedia","U Tong-<em>chuk</em> (born August 8, 1942) is a North Korean official. He is politburo member of Central Committee of the  Workers' Party of Korea. In addition, he was <b>...</b><br>
",2012-11-16
chuk,en.wikipedia.org,http://en.wikipedia.org/wiki/Cheung_Chuk_Shan_College,"Cheung <em>Chuk</em> Shan College - Wikipedia, the free encyclopedia","Cheung <em>Chuk</em> Shan College (Traditional Chinese: 張祝珊英文中學) is a Hong Kong aided co-educational secondary school founded in 1969 by a group of <b>...</b><br>
",2012-11-16
